id,name,age,class,stream,subject,topic,difficulty,clarity,last_score,daily_hours,study_time,session_time,break_time,weekly_hours,days_left,exam_type,priority,syllabus_done,focus,distraction,consistency,revision,practice,learning_style,screen_time,sleep,stress,motivation,study_hours,revision_time,breaks,predicted_score,exam_year,exam_month,exam_day,exam_weekday
39,7,18,1,1,4,2,2,1,68,2,0,53,6,18,16,0,1,76,6,2,9,2,121,0,2,6,5,7,3,2,1,76,2026,8,4,1
40,2,16,2,1,1,3,2,10,83,3,1,51,15,28,25,1,0,44,2,4,10,5,54,0,6,8,5,1,5,1,2,63,2026,8,27,3
41,5,17,1,1,4,3,0,1,75,4,0,32,6,31,21,1,0,46,10,2,1,1,53,0,5,8,9,3,3,2,1,66,2026,8,28,4
42,9,16,1,1,3,5,2,5,53,4,0,42,13,40,25,0,0,44,8,9,6,2,66,0,6,6,9,5,3,1,3,79,2026,8,5,2
43,4,19,1,0,1,0,0,10,77,3,1,46,15,30,9,0,1,59,6,7,1,5,80,2,3,8,5,5,5,1,3,90,2026,8,25,1
44,3,19,0,2,0,8,0,4,53,2,1,33,10,23,24,1,2,69,7,10,4,5,85,2,5,6,7,6,2,1,2,61,2026,8,12,2
45,0,19,2,1,4,9,1,4,57,3,1,59,5,19,26,0,2,56,2,6,6,5,60,1,4,8,2,5,4,2,3,88,2026,8,28,4
46,2,18,1,0,3,0,0,2,52,4,2,30,14,34,28,1,1,72,9,6,10,3,143,1,4,8,7,3,5,1,3,72,2026,8,8,5
47,1,19,0,0,1,4,0,5,84,5,1,34,8,32,16,1,0,64,2,8,6,4,99,0,6,6,7,10,2,3,3,69,2026,8,20,3
48,8,19,1,0,1,6,0,10,86,4,0,56,6,20,28,1,0,53,7,3,2,3,102,0,2,8,4,5,3,2,1,84,2026,8,7,4
49,3,18,0,0,4,7,2,2,90,2,1,58,14,31,8,0,1,59,7,2,7,2,57,0,5,8,7,10,3,3,3,80,2026,8,15,5
50,4,16,2,2,2,9,1,7,53,3,1,58,5,31,24,1,1,77,4,3,4,2,85,2,5,6,8,9,2,1,2,61,2026,8,10,0
51,9,17,2,2,4,0,1,7,81,4,1,48,11,33,21,0,2,80,2,6,4,5,58,2,4,7,5,4,4,3,2,61,2026,8,15,5
52,0,18,2,0,0,0,2,10,63,6,0,48,8,37,27,1,2,42,3,1,9,1,131,0,3,7,10,7,3,3,1,79,2026,8,12,2
53,1,18,0,0,2,9,1,9,56,5,1,48,14,31,23,1,0,36,9,5,1,2,54,1,2,6,7,7,2,1,1,67,2026,8,20,3
54,9,18,0,2,4,9,1,5,60,5,2,57,13,17,16,0,2,41,1,5,5,3,77,2,2,5,8,1,4,2,3,88,2026,8,2,6
55,9,17,1,1,1,2,0,1,88,2,0,41,12,34,21,1,1,65,10,2,4,3,116,2,3,7,10,1,3,1,2,86,2026,8,11,1
56,9,17,0,0,0,7,2,7,73,4,2,53,13,29,26,0,2,53,3,6,7,4,77,1,2,8,10,2,5,3,2,63,2026,8,28,4
57,9,19,1,1,0,8,0,7,86,6,2,43,6,16,7,0,0,63,6,4,5,3,71,2,2,8,8,5,5,2,1,61,2026,8,23,6
58,6,20,0,1,4,3,0,3,79,3,0,56,7,34,21,1,2,73,4,9,5,1,105,2,5,7,9,4,4,2,1,64,2026,8,11,1
59,5,19,2,0,0,1,2,10,78,3,1,35,6,30,14,0,0,72,10,8,10,3,137,0,5,6,2,1,2,1,3,80,2026,8,12,2
60,4,17,1,1,0,5,2,9,89,4,2,51,12,32,6,0,1,52,7,9,3,4,67,1,3,5,3,8,3,3,3,80,2026,8,22,5
61,6,18,1,0,2,6,0,5,63,2,1,36,10,35,5,1,1,35,2,10,7,5,104,0,4,6,5,9,2,2,1,61,2026,8,7,4
62,6,19,0,2,1,5,2,4,88,5,0,58,12,30,29,0,0,38,8,10,7,4,120,2,4,8,5,1,5,1,1,75,2026,8,17,0
63,4,18,2,1,3,3,2,8,59,3,0,50,14,26,25,1,1,71,6,9,7,5,122,0,6,7,4,9,5,3,3,70,2026,8,24,0
64,4,19,2,2,2,3,2,4,68,5,2,47,13,30,29,1,1,69,2,2,9,2,50,0,5,8,6,3,3,3,2,87,2026,8,9,6
65,8,17,1,2,3,2,0,1,68,6,0,31,11,33,21,0,1,31,2,10,4,5,148,2,6,6,1,1,3,1,1,63,2026,8,8,5
66,1,19,0,2,4,3,2,7,58,2,0,37,6,35,10,1,2,61,4,5,3,1,135,0,3,8,5,8,3,1,3,88,2026,8,13,3
67,5,20,0,0,2,0,0,2,84,6,0,56,6,34,9,0,2,70,7,10,8,2,94,2,4,8,6,1,3,2,2,72,2026,8,13,3
68,4,19,0,2,1,1,2,3,76,5,0,36,15,35,19,1,2,35,8,5,7,5,120,2,2,8,1,3,5,3,3,61,2026,8,5,2
69,2,18,0,1,0,4,1,9,58,2,2,41,8,33,17,0,2,44,5,9,4,2,147,1,5,6,2,1,5,3,2,90,2026,8,25,1
70,0,16,2,2,4,6,0,9,71,5,2,46,12,19,6,1,1,30,2,5,1,1,55,2,4,6,1,9,4,2,2,78,2026,8,20,3
71,5,16,2,2,1,8,0,1,59,4,1,44,8,37,5,0,0,72,7,2,10,4,69,1,4,7,10,7,4,2,2,90,2026,8,8,5
72,6,17,2,0,3,9,0,9,82,4,0,36,6,17,25,0,0,59,10,8,9,2,92,0,5,6,6,9,3,1,3,74,2026,8,11,1
73,1,20,2,0,1,0,2,1,85,4,1,50,14,27,29,0,2,42,5,9,6,2,145,2,4,7,10,10,3,2,3,71,2026,8,14,4
74,7,18,0,2,4,6,0,1,83,5,2,48,9,20,22,1,0,80,2,9,7,2,81,0,3,8,2,3,3,2,1,71,2026,8,3,0
75,2,18,2,1,1,7,2,5,69,3,2,54,11,39,24,1,2,49,2,4,2,5,61,0,4,5,3,5,5,2,3,61,2026,8,14,4
76,0,19,0,0,2,3,2,1,64,3,2,53,15,18,25,1,1,46,8,1,3,4,139,0,3,5,8,5,5,2,1,80,2026,8,5,2
77,1,20,0,0,1,7,1,8,74,4,1,31,15,15,18,0,1,42,9,1,6,1,145,2,6,5,9,8,2,1,3,85,2026,8,5,2
78,0,17,0,1,3,6,2,9,51,5,0,59,6,38,8,0,0,58,6,3,6,1,114,1,4,7,4,3,3,3,3,74,2026,8,2,6
79,7,18,2,2,1,6,0,1,78,5,0,30,7,18,26,0,1,62,9,5,3,3,93,0,4,7,6,9,5,3,2,85,2026,8,20,3
80,5,17,1,0,1,4,0,7,61,4,1,58,10,19,16,1,2,55,3,1,10,4,113,1,5,6,5,3,2,2,3,90,2026,8,3,0
81,4,17,0,0,2,3,1,9,68,3,2,36,10,21,25,0,0,77,3,4,6,2,131,0,5,7,6,1,2,1,3,66,2026,8,17,0
82,3,20,1,0,4,4,2,8,74,5,0,56,8,22,25,1,2,63,2,5,10,3,87,1,4,6,2,9,2,3,2,81,2026,8,25,1
83,2,16,1,1,2,4,1,9,90,6,2,60,11,16,26,0,2,40,3,9,5,2,77,2,3,7,4,7,3,1,3,66,2026,8,14,4
84,8,19,1,2,1,6,1,4,80,4,1,34,13,31,20,0,1,80,10,7,8,1,85,2,2,6,2,10,5,2,1,75,2026,8,19,2
85,1,20,2,0,0,4,2,8,50,3,0,52,7,16,20,0,2,79,10,1,6,4,51,1,5,5,1,4,5,1,2,77,2026,8,11,1
86,1,16,0,2,4,7,1,3,65,4,1,53,8,29,14,0,1,63,7,8,6,4,112,2,4,8,7,2,3,2,2,82,2026,8,24,0
87,3,20,0,1,2,5,2,2,72,3,2,51,11,26,23,0,1,61,5,6,8,1,126,0,5,8,5,10,5,3,1,88,2026,8,4,1
88,8,19,0,0,1,0,1,7,75,5,1,51,14,37,12,1,2,40,5,7,4,4,141,2,5,8,3,6,3,2,2,73,2026,8,7,4
89,2,19,2,1,2,2,1,8,68,4,0,34,9,38,6,0,2,79,2,1,5,1,116,1,6,8,4,4,4,1,1,66,2026,8,20,3
90,3,20,1,0,3,4,1,10,53,2,2,54,11,32,15,1,1,38,4,8,6,1,140,2,6,5,9,4,3,3,1,77,2026,8,11,1
91,9,17,1,2,0,2,2,6,52,6,2,39,9,15,20,1,0,64,7,8,3,2,133,0,3,6,8,1,5,1,1,78,2026,8,28,4
92,4,16,2,2,3,3,1,1,53,5,0,42,6,19,19,1,2,48,5,10,4,1,112,1,5,5,7,4,2,3,2,80,2026,8,18,1
93,4,18,1,1,1,8,2,10,79,6,0,40,7,37,9,0,2,53,9,3,8,2,93,2,3,7,10,4,5,1,2,82,2026,8,9,6
94,4,17,1,0,1,4,1,10,58,4,0,38,12,16,22,1,0,45,10,1,6,1,68,1,2,6,7,9,4,2,3,75,2026,8,14,4
95,5,20,0,2,1,6,1,3,61,5,0,53,7,28,10,0,1,56,5,3,6,3,68,2,4,8,7,1,5,2,2,68,2026,8,7,4
96,5,17,0,2,0,0,0,8,52,3,1,36,11,35,22,1,0,56,1,5,1,4,57,1,2,7,3,2,2,2,2,77,2026,8,2,6
97,6,20,0,1,4,1,0,1,58,3,1,50,12,33,22,0,2,79,5,6,4,2,119,1,6,6,5,9,2,3,2,63,2026,8,2,6
98,8,17,2,2,0,8,0,5,59,5,0,36,9,19,16,0,0,54,9,10,6,5,132,1,2,6,5,1,3,2,2,77,2026,8,1,5
99,2,20,0,0,0,7,1,7,90,2,0,41,11,21,21,0,1,37,2,1,3,4,114,2,3,6,2,5,4,1,2,76,2026,8,12,2
100,1,18,2,2,1,9,1,1,51,3,1,35,10,25,16,0,0,52,3,4,7,2,61,0,3,8,3,2,5,1,2,66,2026,8,8,5
101,1,19,2,2,2,6,2,4,85,3,1,58,6,39,12,0,1,77,3,4,7,4,136,0,6,5,6,3,5,3,3,60,2026,8,24,0
102,0,18,2,2,1,3,2,3,90,3,1,45,13,17,5,1,0,74,7,10,5,1,59,1,6,5,7,1,5,3,3,66,2026,8,22,5
103,3,20,2,2,0,7,0,3,64,5,0,53,9,32,7,0,1,41,5,3,7,4,113,1,4,5,9,9,5,3,1,71,2026,8,7,4
104,5,19,2,0,2,8,0,10,87,5,2,31,12,25,24,1,2,67,9,10,3,3,93,1,6,8,1,2,3,3,2,85,2026,8,10,0
105,2,18,2,0,0,1,1,5,65,3,2,49,11,31,25,0,2,53,6,10,1,5,85,1,2,8,7,7,5,2,1,86,2026,8,6,3
106,2,16,1,0,2,3,2,9,74,4,1,36,14,40,19,0,1,75,7,10,5,5,106,0,3,7,8,5,3,3,2,86,2026,8,17,0
107,1,18,0,0,1,3,1,9,90,5,1,53,15,25,29,1,1,68,3,5,4,1,145,1,3,5,10,6,2,3,3,65,2026,8,4,1
108,3,20,0,1,4,7,2,8,64,3,0,54,14,38,12,0,2,63,4,1,2,1,88,1,3,8,1,1,5,3,3,78,2026,8,28,4
109,7,20,0,2,3,2,2,7,74,3,0,50,7,31,24,0,2,32,1,8,10,1,64,1,4,8,10,8,2,1,1,72,2026,8,4,1
110,8,18,1,2,0,4,0,8,74,2,2,30,7,17,27,0,0,52,4,6,4,2,82,1,4,8,3,7,3,2,3,77,2026,8,23,6
111,0,18,1,1,1,5,2,3,74,6,1,40,10,19,7,0,0,76,7,3,6,3,97,2,2,5,7,5,3,3,3,77,2026,8,2,6
112,0,20,2,2,3,4,0,8,51,2,0,32,10,16,9,1,0,33,10,5,8,4,139,2,6,8,4,1,4,2,2,87,2026,8,4,1
113,8,19,2,1,1,4,0,1,70,6,1,39,13,28,7,0,0,31,2,10,7,2,138,0,2,7,9,5,5,1,3,73,2026,8,7,4
114,2,16,1,2,2,7,0,8,57,4,0,54,7,26,26,0,1,41,10,4,9,5,82,2,2,7,9,6,3,3,2,70,2026,8,27,3
115,2,16,1,2,3,9,0,7,74,4,0,55,8,21,22,1,2,45,2,5,7,2,108,0,4,8,2,7,2,3,1,88,2026,8,14,4
116,9,20,1,2,4,8,1,8,65,4,0,44,9,26,21,1,1,43,9,6,9,4,127,1,4,6,4,2,3,3,1,62,2026,8,15,5
117,3,18,1,0,1,8,0,7,75,5,2,43,12,34,30,0,2,79,4,7,5,2,127,0,4,6,8,5,4,3,1,68,2026,8,11,1
118,3,18,2,0,0,7,1,7,58,3,0,31,11,35,29,1,2,41,6,10,6,4,101,2,3,5,8,6,2,1,2,72,2026,8,17,0
119,8,20,0,1,3,4,1,3,54,6,1,60,14,40,15,0,0,44,9,7,7,3,65,2,6,7,1,4,5,3,2,76,2026,8,20,3
120,8,18,1,1,2,1,2,1,55,5,1,41,5,30,28,0,2,76,6,2,2,5,68,1,2,5,3,4,4,1,1,88,2026,8,17,0
121,5,20,1,1,4,2,2,3,76,6,1,60,9,34,20,1,1,46,3,4,8,3,135,1,2,6,10,1,3,2,2,66,2026,8,21,4
122,3,17,1,1,4,0,2,3,70,5,1,54,6,21,28,0,1,33,4,5,3,4,136,1,6,7,7,3,3,3,1,81,2026,8,15,5
123,9,20,1,0,2,4,1,7,90,3,0,53,11,28,6,1,2,66,1,7,8,4,120,2,6,7,9,2,4,2,3,78,2026,8,16,6
124,3,20,0,2,4,2,2,1,71,5,0,37,11,40,29,0,1,78,8,6,6,2,56,2,3,7,1,5,3,2,1,86,2026,8,23,6
125,4,17,0,2,4,4,2,1,88,5,1,58,13,24,30,0,2,54,7,7,10,1,127,1,3,5,8,3,3,2,1,67,2026,8,10,0
126,7,17,0,2,0,4,2,4,84,4,1,33,15,35,15,0,1,58,7,4,5,5,137,0,3,6,7,5,3,2,1,65,2026,8,8,5
127,4,16,1,0,4,6,1,2,67,6,1,49,15,31,24,1,2,71,9,6,9,2,114,1,2,5,3,7,3,1,1,67,2026,8,23,6
128,2,20,0,0,1,1,1,2,58,6,1,30,14,29,16,0,0,36,4,3,6,2,144,2,3,5,2,3,5,1,3,64,2026,8,28,4
129,7,17,2,0,3,7,0,3,83,2,1,60,13,22,21,1,2,70,5,7,3,1,94,2,5,6,9,8,4,2,2,75,2026,8,20,3
130,2,19,0,1,0,4,1,8,59,2,1,49,15,34,16,1,1,67,10,6,8,1,129,0,5,8,6,5,2,3,2,60,2026,8,2,6
131,3,20,1,1,2,6,1,1,73,5,0,59,9,36,29,0,0,61,2,6,1,4,91,0,4,6,8,5,2,3,3,60,2026,8,28,4
132,5,17,1,0,3,0,1,10,63,5,2,34,6,26,22,1,0,42,8,6,3,4,135,2,6,8,10,2,2,1,3,83,2026,8,3,0
133,7,20,1,1,0,6,0,5,63,2,2,39,8,25,13,1,0,62,4,10,2,5,57,1,5,5,5,9,2,3,2,86,2026,8,9,6
134,7,17,0,0,4,3,0,5,80,6,1,37,10,36,15,1,0,30,8,6,5,1,133,0,5,8,2,8,3,2,2,71,2026,8,15,5
135,0,17,1,2,0,9,0,1,63,5,0,37,11,39,30,1,1,51,9,4,6,2,66,2,5,6,2,5,4,3,1,77,2026,8,19,2
136,2,16,2,0,3,3,2,10,55,2,0,50,15,22,7,1,0,55,5,6,8,2,55,0,6,6,3,5,5,3,2,82,2026,8,19,2
137,4,18,1,1,2,4,1,4,59,2,0,46,8,23,7,1,2,32,10,7,8,1,142,0,4,8,4,5,3,3,1,68,2026,8,14,4
138,8,18,2,1,1,2,0,7,59,4,0,32,15,32,19,1,0,49,10,5,1,5,122,0,4,7,9,5,5,2,1,73,2026,8,1,5
139,8,19,2,2,2,6,0,5,81,4,1,60,10,19,7,0,0,58,5,3,4,3,55,1,5,6,1,6,3,1,1,69,2026,8,12,2
140,2,20,1,2,2,3,0,3,56,5,1,51,8,17,8,0,0,80,2,4,5,1,147,0,4,5,10,7,5,3,2,82,2026,8,25,1
141,2,17,0,1,3,6,0,10,60,4,0,38,8,18,26,1,0,80,4,1,6,1,74,1,6,8,8,6,2,1,2,63,2026,8,17,0
142,4,16,1,0,3,2,1,3,90,6,1,42,5,30,12,1,1,48,8,5,7,2,67,1,5,6,5,4,2,3,1,78,2026,8,27,3
143,8,16,0,2,3,9,0,7,63,4,2,49,8,19,10,0,1,66,6,4,3,2,124,1,5,5,8,6,3,1,3,87,2026,8,18,1
144,9,16,0,1,3,5,2,7,58,5,0,47,10,27,20,0,0,46,4,6,2,2,118,1,3,5,6,2,4,1,3,78,2026,8,28,4
145,2,19,2,1,4,4,1,4,65,5,2,43,11,34,18,0,1,30,4,10,7,4,82,1,3,8,9,8,3,3,3,85,2026,8,12,2
146,0,17,0,0,3,8,0,9,87,4,0,45,8,23,10,1,1,74,3,2,5,5,112,1,2,5,7,1,3,1,1,64,2026,8,18,1
147,9,19,0,0,0,5,2,10,71,6,2,46,6,22,14,1,0,67,5,9,8,1,81,2,5,5,8,6,4,3,1,68,2026,8,20,3
148,7,18,0,0,3,8,0,4,88,3,0,30,11,39,17,1,0,38,8,5,7,2,117,0,3,8,10,8,3,2,2,75,2026,8,13,3
149,7,19,2,0,1,2,0,1,83,5,1,58,10,39,25,1,1,31,9,2,10,2,116,1,2,8,8,6,3,2,1,83,2026,8,13,3
150,1,17,2,2,2,5,1,10,66,3,1,52,13,16,20,1,0,61,7,10,10,2,143,1,6,5,10,7,4,1,2,85,2026,8,25,1
151,6,20,1,0,2,2,2,8,68,3,1,52,10,25,30,0,2,72,9,1,10,1,66,2,6,8,4,4,5,2,3,88,2026,8,5,2
152,4,17,2,1,3,3,0,10,81,2,1,59,13,31,26,0,2,62,8,9,2,1,61,1,2,5,8,1,5,2,1,74,2026,8,28,4
153,3,16,2,2,0,0,0,6,60,3,1,54,5,24,28,1,2,47,3,4,6,5,146,0,2,8,3,7,5,1,1,88,2026,8,25,1
154,9,18,0,2,2,9,2,5,78,5,1,60,11,25,28,0,2,65,1,6,5,2,86,1,6,7,3,9,4,1,2,65,2026,8,5,2
155,3,17,1,1,4,0,0,7,76,5,2,57,10,25,11,0,0,58,8,7,9,1,130,2,3,8,2,7,3,1,3,61,2026,8,10,0
156,9,18,0,2,4,2,1,9,81,2,2,48,8,39,6,1,2,33,10,4,4,1,113,2,5,8,3,3,4,3,3,79,2026,8,13,3
157,9,20,0,2,4,1,1,3,69,6,0,47,13,20,16,0,1,65,5,10,5,5,135,0,4,7,3,4,4,2,2,81,2026,8,1,5
158,5,19,0,0,3,2,2,8,88,4,0,49,15,20,7,1,0,55,5,8,7,4,53,2,3,8,8,5,2,1,2,68,2026,8,4,1
159,6,20,2,2,0,0,2,6,77,6,1,32,14,27,7,1,0,46,2,4,4,2,80,2,6,7,9,4,4,3,1,88,2026,8,18,1
160,7,20,1,2,4,8,2,2,73,3,0,46,10,23,25,0,2,80,6,3,10,3,61,2,5,5,2,7,3,1,3,64,2026,8,27,3
161,0,18,2,0,0,6,1,1,50,5,2,42,8,32,13,1,2,74,7,10,7,5,70,1,6,7,5,8,4,1,2,81,2026,8,14,4
162,4,19,1,2,0,3,1,2,53,4,2,38,8,31,11,0,2,67,7,3,1,3,129,0,2,8,7,5,2,3,1,81,2026,8,16,6
163,8,20,1,1,3,6,1,7,64,2,0,32,11,36,15,0,2,62,5,10,2,1,93,0,6,6,7,5,5,2,3,76,2026,8,5,2
164,0,17,0,2,3,9,2,10,55,3,0,52,11,31,9,0,0,36,9,2,4,2,107,0,5,8,9,1,4,2,2,87,2026,8,5,2
165,0,20,0,0,2,7,1,8,52,5,0,45,10,22,19,1,2,31,9,1,8,1,80,1,3,7,10,7,5,3,3,75,2026,8,18,1
166,5,18,2,1,1,7,0,5,67,4,2,50,14,15,8,1,1,73,4,8,1,4,144,0,4,5,9,2,2,2,2,64,2026,8,25,1
167,6,20,1,2,0,9,1,2,86,2,1,31,9,24,21,0,1,48,9,8,1,5,102,2,4,6,6,7,5,3,1,85,2026,8,12,2
168,9,19,2,2,3,1,0,6,72,2,0,55,8,17,7,0,2,78,2,7,5,4,124,2,4,7,4,5,2,1,2,63,2026,8,3,0
169,1,19,2,2,1,6,0,5,88,4,0,39,13,15,12,1,0,56,4,6,3,3,50,0,6,7,7,2,2,1,1,82,2026,8,7,4
170,4,16,1,1,2,3,2,7,83,4,1,36,6,35,7,1,1,34,8,5,6,5,111,0,2,5,1,3,5,1,3,67,2026,8,17,0
171,2,17,1,1,2,5,1,5,65,6,1,39,7,31,23,1,2,40,8,10,3,2,97,2,3,6,7,7,3,3,1,86,2026,8,4,1
172,2,17,0,1,4,0,1,10,70,6,1,44,12,37,21,0,1,73,6,2,9,1,138,2,4,5,4,6,3,3,2,73,2026,8,15,5
173,2,19,1,0,0,6,2,6,87,5,1,45,11,22,17,0,2,48,7,8,5,1,125,1,3,8,9,6,5,3,2,86,2026,8,22,5
174,1,17,2,2,4,4,0,6,51,5,2,33,14,35,15,0,2,49,3,5,8,4,89,1,3,5,5,5,5,2,2,60,2026,8,18,1
175,6,18,0,2,0,8,2,1,54,6,0,55,5,23,23,1,2,78,7,5,10,3,87,1,6,5,4,1,4,1,2,79,2026,8,13,3
176,1,20,0,0,2,0,1,1,76,6,0,41,9,26,30,0,0,67,2,10,6,1,117,1,6,8,9,1,3,1,3,87,2026,8,5,2
177,5,16,0,2,0,7,0,7,81,4,1,37,15,38,11,0,2,38,1,2,6,1,99,2,4,5,8,2,5,1,3,65,2026,8,4,1
178,5,16,1,1,3,0,2,7,54,4,1,35,13,27,23,0,2,75,5,3,5,4,118,2,6,6,7,3,5,1,3,70,2026,8,20,3
179,9,18,2,1,0,5,2,5,73,4,1,57,14,25,22,0,0,56,5,7,10,2,149,1,5,8,7,6,3,2,1,80,2026,8,17,0
180,4,20,1,0,3,6,1,6,77,2,1,55,9,22,10,1,1,35,8,1,9,1,144,1,5,5,9,1,2,3,3,71,2026,8,9,6
181,8,17,1,2,3,8,0,6,85,5,0,48,9,21,28,0,1,52,4,3,7,1,54,1,3,8,4,1,5,1,2,61,2026,8,2,6
182,5,18,1,1,3,8,1,10,89,5,1,48,13,33,24,0,2,49,9,2,7,4,60,0,2,5,5,3,3,2,2,61,2026,8,17,0
